strategy,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Win Rate
Equal-Weight Benchmark,0.13634066267088518,0.19276793675442078,0.7597084294500438,0.9729966104208315,0.2679893704674647,-0.5087539943582862,0.547361729179911
Equal Weight,0.11467546472342893,0.12113334018341285,0.9571167624002549,1.2395622188738444,0.463980326525917,-0.24715587745297085,0.5521296884933249
Inverse Vol,0.11105143653798932,0.11527651518474819,0.9714591754221059,1.2412518983323297,0.4554440271824585,-0.24383114040378062,0.5546726001271456
Risk Parity,0.11105089777981814,0.11527011813309762,0.97150246231688,1.2413772846314275,0.4554442137823394,-0.2438298575748078,0.5546726001271456
HRP,0.10435657810615795,0.10601339966426228,0.9896085449717105,1.251577823915741,0.43899820665210376,-0.23771527200988818,0.5576923076923077
Min Variance,0.09003628452993673,0.0922860528966997,0.9805496918492275,1.189674174608455,0.36682536100128255,-0.24544727301344338,0.6058486967577876
Max Diversification,0.11436881371434215,0.12051503763656309,0.9591214521088669,1.242297353711874,0.4638777237032048,-0.24654948463857873,0.5514939605848697
ENSEMBLE (meta-blend),0.10755269385356203,0.11023965146560678,0.9820576987647873,1.2480725615856039,0.44512505170143135,-0.24162354700652355,0.5556261919898283
