Date,gross_return,net_return,turnover,tcost
2010-01-04,0.0,0.0,0.0,0.0
2010-01-05,0.0,0.0,0.0,0.0
2010-01-06,0.0,0.0,0.0,0.0
2010-01-07,0.0,0.0,0.0,0.0
2010-01-08,0.0,0.0,0.0,0.0
2010-01-11,0.0,0.0,0.0,0.0
2010-01-12,0.0,0.0,0.0,0.0
2010-01-13,0.0,0.0,0.0,0.0
2010-01-14,0.0,0.0,0.0,0.0
2010-01-15,0.0,0.0,0.0,0.0
2010-01-19,0.0,0.0,0.0,0.0
2010-01-20,0.0,0.0,0.0,0.0
2010-01-21,0.0,0.0,0.0,0.0
2010-01-22,0.0,0.0,0.0,0.0
2010-01-25,0.0,0.0,0.0,0.0
2010-01-26,0.0,0.0,0.0,0.0
2010-01-27,0.0,0.0,0.0,0.0
2010-01-28,0.0,0.0,0.0,0.0
2010-01-29,0.0,0.0,0.0,0.0
2010-02-01,0.015483905572802884,0.014483905572802883,1.0,0.001
2010-02-02,0.005949378724754614,0.005949378724754614,0.0,0.0
2010-02-03,-0.009863924724414587,-0.009863924724414587,0.0,0.0
2010-02-04,-0.035622331212292344,-0.035622331212292344,0.0,0.0
2010-02-05,0.004679712417468071,0.004679712417468071,0.0,0.0
2010-02-08,-0.0066102850971110245,-0.0066102850971110245,0.0,0.0
2010-02-09,0.01600953271488027,0.01600953271488027,0.0,0.0
2010-02-10,0.0037761585816916458,0.0037761585816916458,0.0,0.0
2010-02-11,0.014715458770283196,0.014715458770283196,0.0,0.0
2010-02-12,0.006554984834317633,0.006554984834317633,0.0,0.0
2010-02-16,0.0161564636748018,0.0161564636748018,0.0,0.0
2010-02-17,0.006919597822989667,0.006919597822989667,0.0,0.0
2010-02-18,0.007967933639181643,0.007967933639181643,0.0,0.0
2010-02-19,0.0037593595636105873,0.0037593595636105873,0.0,0.0
2010-02-22,0.0026864718731232783,0.0026864718731232783,0.0,0.0
2010-02-23,-0.012011137266383486,-0.012011137266383486,0.0,0.0
2010-02-24,0.010405758619243031,0.010405758619243031,0.0,0.0
2010-02-25,0.0007533014459400322,0.0007533014459400322,0.0,0.0
2010-02-26,0.004254032466860238,0.004254032466860238,0.0,0.0
2010-03-01,0.020580373897642935,0.020427988177428105,0.15238572021483177,0.00015238572021483176
2010-03-02,0.008319218454325645,0.008319218454325645,0.0,0.0
2010-03-03,0.0004311301063402134,0.0004311301063402134,0.0,0.0
2010-03-04,0.003964564464907086,0.003964564464907086,0.0,0.0
2010-03-05,0.016515902053841985,0.016515902053841985,0.0,0.0
