strategy,sharpe,sortino,ann_return,ann_vol,max_drawdown,ann_turnover,ann_tcost_drag,universe_size,inception_biased_count
Small-Cap Tilt,1.400208309493335,1.847541935470274,0.3262972704912288,0.21894884337968645,-0.39962707569108047,2.2288796339787735,0.002228879633978773,499,76
Value Composite,1.2831674601570768,1.6329338272669232,0.30076129252296835,0.22477033677576483,-0.4654764724813365,3.3901120436001673,0.003390112043600167,499,76
EPS Revision,,,0.0,0.0,0.0,0.0,0.0,499,76
Sector-Neutral Dividend Yield,0.8876296370486404,1.1002102792420416,0.15880996931541125,0.18560440603659042,-0.43516007041797233,3.1300108831594433,0.0031300108831594435,499,76
Cross-Sectional Momentum,0.9890805896380275,1.210582992916897,0.17398270873569022,0.17840050888632328,-0.38910451096211673,9.450024610894136,0.009450024610894135,499,76
Low Volatility,0.9605809033258759,1.1438773840630472,0.12743322715088512,0.13432882350976524,-0.3433312447928526,3.4910199366775783,0.003491019936677579,499,76
ML Ridge (rolling OLS),0.8245149338820159,1.0098190628298713,0.15253160440191693,0.195502589373621,-0.38916225100316526,12.158636352296885,0.012158636352296885,499,76
