strategy,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,Win Rate
Equal-Weight Benchmark,0.13634066267088518,0.19276793675442078,0.7597084294500438,0.9729966104208315,0.2679893704674647,-0.5087539943582862,0.547361729179911
Vol-Managed Equity,0.13496725586053038,0.16899617768882907,0.8340784942208026,1.1429836867985754,0.4453580061921083,-0.3030533952101252,0.547361729179911
Trend-Filtered Equity,0.11729752658948023,0.14410997020112945,0.8420864857637643,1.0274179523541238,0.4289911262400658,-0.27342646366032264,0.62269548633185
Cross-Sectional Momentum + Trend,0.08815963367955915,0.13649411126994868,0.687475910941481,0.8261348879108829,0.3680236488807483,-0.23954882776602693,0.6042593769866497
Low Volatility + Trend,0.07762933538602534,0.08940683616685664,0.8811182068935668,1.0674945178925483,0.3553084063296475,-0.21848437583546088,0.6061665607120152
Small-Cap Tilt + Trend,0.14568083963528933,0.13217805517081943,1.0952666178323478,1.3412205027516986,0.4294253008934028,-0.3392460559082242,0.6123649078194533
Combined Book (HRP),0.10342679813442346,0.10352521809738842,1.0027372030775625,1.2534573974443695,0.43455048695115245,-0.23800870379889738,0.5635727908455181
